author_id,Author Name,co_author_id,count
144608597,Jonathan Boisvert,1792200,1
146717821,F. Jonathan,2075134876,1
146717821,F. Jonathan,146593312,1
146717821,F. Jonathan,2061438836,1
146717821,F. Jonathan,146866715,1
146717821,F. Jonathan,147596348,1
2237141740,J. Boisvert,49166577,3
2237141740,J. Boisvert,2237302185,3
2237141740,J. Boisvert,2237349317,2
2237141740,J. Boisvert,2157992732,1
2237141740,J. Boisvert,2411639891,1
2237141740,J. Boisvert,2411654651,1
2237141740,J. Boisvert,2312437602,1
2237141740,J. Boisvert,2411647315,1
2237141740,J. Boisvert,2237291504,1
2237141740,J. Boisvert,3111197,1
2237141740,J. Boisvert,2271962964,1
2237141740,J. Boisvert,2411641035,1
2237141740,J. Boisvert,2137451599,1
2237141740,J. Boisvert,2058280709,1
2237141740,J. Boisvert,2388512119,1
2237141740,J. Boisvert,2411654646,1
2237141740,J. Boisvert,152619844,1
2237141740,J. Boisvert,2298766786,1
2237141740,J. Boisvert,48055385,1
2237141740,J. Boisvert,2411646871,1
2237141740,J. Boisvert,1792200,1
2237141740,J. Boisvert,133845799,1
2237141740,J. Boisvert,2160987995,1
2237141740,J. Boisvert,2411639757,1
2237141740,J. Boisvert,2411654689,1
2237141740,J. Boisvert,2411641007,1
2237141740,J. Boisvert,2250406528,1
2237141740,J. Boisvert,2413104905,1
2237141740,J. Boisvert,2312451974,1
2237141740,J. Boisvert,2411658990,1
2237141740,J. Boisvert,4493960,1
2237141740,J. Boisvert,2264412801,1
2237141740,J. Boisvert,2388512256,1
2237141740,J. Boisvert,2110644834,1
2237141740,J. Boisvert,2411641064,1
2237141740,J. Boisvert,2411639135,1
2237141740,J. Boisvert,2411639765,1
2237141740,J. Boisvert,2291620440,1
2237141740,J. Boisvert,48928938,1
2237141740,J. Boisvert,2411646890,1
2237141740,J. Boisvert,2413110333,1
2237141740,J. Boisvert,2413126289,1
2237141740,J. Boisvert,2365270602,1
2237141740,J. Boisvert,1576032444,1
2237141740,J. Boisvert,2318311195,1
2237141740,J. Boisvert,2411658791,1
2237141740,J. Boisvert,107614588,1
2237141740,J. Boisvert,2238519442,1
2237141740,J. Boisvert,2268167663,1
2237141740,J. Boisvert,2413127608,1
2274943414,Jonathan Boisvert,1401599067,4
2274943414,Jonathan Boisvert,40225867,4
2274943414,Jonathan Boisvert,1395581750,4
2274943414,Jonathan Boisvert,2112373,3
2274943414,Jonathan Boisvert,2185364605,2
2274943414,Jonathan Boisvert,2313504762,2
2274943414,Jonathan Boisvert,2138705546,2
2274943414,Jonathan Boisvert,2273207037,2
2274943414,Jonathan Boisvert,2308113320,2
2274943414,Jonathan Boisvert,52143264,2
2274943414,Jonathan Boisvert,2308109362,2
2274943414,Jonathan Boisvert,2308111780,2
2274943414,Jonathan Boisvert,4055834,2
2274943414,Jonathan Boisvert,39478178,2
2274943414,Jonathan Boisvert,6866916,2
2274943414,Jonathan Boisvert,80824040,2
2274943414,Jonathan Boisvert,2086982169,2
2274943414,Jonathan Boisvert,2308110162,2
2274943414,Jonathan Boisvert,2333141893,1
2279753241,Jonathan Boisvert,2279754288,4
2279753241,Jonathan Boisvert,2145064725,4
2279753241,Jonathan Boisvert,2074266007,4
2279753241,Jonathan Boisvert,2247539062,3
2279753241,Jonathan Boisvert,2091876348,3
2279753241,Jonathan Boisvert,16276224,3
2279753241,Jonathan Boisvert,2144225024,1
2279753241,Jonathan Boisvert,2339941968,1
2279753241,Jonathan Boisvert,2131863767,1
2279753241,Jonathan Boisvert,38981692,1
2279753241,Jonathan Boisvert,2285403447,1
2279753241,Jonathan Boisvert,2340406479,1
2279753241,Jonathan Boisvert,2340391571,1
