author_id,paper_id,co_author_id
2119152141,a3ae86810dbc73a371948bfd3853daa02f416ac8,21607473
2008272271,7231c26c3cbdaa580cf5fdc37be3fa74a410c90b,2269704034
2374510883,85ba44af08af9bfdde232638538339a7e0a70f48,2280135970
2374510883,85ba44af08af9bfdde232638538339a7e0a70f48,2190503874
2008272271,b57a7c8f15fad88250137f8505800bf0215cf072,47836990
2119152141,a01c6594ea8615a5959ddf4ac768838b8dd6e0e6,79343116
2374510883,927c965e676df71d61ccea42491b99cb6e5e4215,2374511938
2119152141,44a15523589bd0b381c749775e6eb4c0418018ed,34578130
2119152141,2915a2c4d758ab42b616282eab2152b8259532b0,144728009
2374510883,bd58d7c7026a06d69ed78af7f165452e8c64e0da,122858443
2119152141,6fa346763d4691b2a53ef6dd64a7f1d40a77c3a8,2110651616
2119152141,d785733515654e43a6a9a287b804108c3ce27c96,30601736
2239878152,428aebba8050a30be42f0c8923baaa42f7297cb2,2244004510
2119152141,a3ae86810dbc73a371948bfd3853daa02f416ac8,2008211803
2096014028,e8be1d684f024a04744c03e3f52489e462760d10,95680937
3043571,0ce1b2c143f6409cbd9d3c18c52a2d37eb084208,2285855047
2056121619,f2ae12721638b118636d2c6f5414be5ec40a96ee,2036451980
3043571,300bc1fb230a860c629e589c1cc225f30127885a,40018840
3043571,c6e2ed109357d5841b7c749db23e3c189c7b5e51,9199196
3043571,d5fbeb800bf529ffeae10c381fb2e7bbc6066e1d,2146391087
2239878152,86ca2275948ec593e0a0bd46cd178753cda89a72,2147252655
2374510883,60dc09b4be0fc9347a3c1151f5e1649f98dffc7a,2302663543
3043571,ebf3e52be5323aa27e5ef06537acb3e4312a097b,2065485873
2374510883,2aeba460dc95bc7dfe86e91760e78cc47e7fca2b,2374510247
2374510883,66769a6fae7789af03bd53aacd2306035ed8bf8c,1720843232
3043571,0ce1b2c143f6409cbd9d3c18c52a2d37eb084208,2340648593
2119152141,5462b7cf87d773fa3dc403bac3697ddc297c10e3,145695593
2374510883,9d063d5e7bdc9b772ac6687734f341922fc66702,2375661238
2119152141,e93a04767f952481491db94ca696225d702e9358,80622717
2056121619,31f56063dc11e4ca221dd44b4d559df6a2321ca6,2036451980
2067804195,6f45a12181ce7333b374984b5772b0439a8d4fc3,2067803807
2374510883,ae94bb354069449d7c6735e7b375fdb6f7e1e9e6,2352653931
2374510883,9d063d5e7bdc9b772ac6687734f341922fc66702,2375541698
2008272271,11f548af1ba941b33f05387082fde6c441be3844,2018836228
2374510883,9d063d5e7bdc9b772ac6687734f341922fc66702,2374813846
2119152141,3304c526211be5dea41f7fe8e62e10ebd95ae2cc,49339918
2119152141,be766cb46278f7da6f31dc560a8e49b86843d528,2326390388
2008272271,7231c26c3cbdaa580cf5fdc37be3fa74a410c90b,2269755410
3043571,14678759aea85bf28470513c50dc40710fb54eb4,37408808
2374510883,85ba44af08af9bfdde232638538339a7e0a70f48,2280137110
3043571,0ce1b2c143f6409cbd9d3c18c52a2d37eb084208,2289678093
2096014028,e8be1d684f024a04744c03e3f52489e462760d10,3099631
2119152141,6fa346763d4691b2a53ef6dd64a7f1d40a77c3a8,2060113477
2275193055,0c5b757acf874f00c5b669d514eb3f2548482f8d,2275190211
2008272271,7671c31cdfd2e396846f59be30701b8710be8134,2018836228
2119152141,aacdec31b14b6fff7f9101d6be20e4f0fe501d52,79343116
2374510883,ae94bb354069449d7c6735e7b375fdb6f7e1e9e6,2351932176
3043571,18b9b8fe9c9bd7d4576c66c96e943a8eccc90b23,37408808
2239878152,86ca2275948ec593e0a0bd46cd178753cda89a72,2368697824
2008272271,b453e1b8a5f17f43f6524d4ec958fb3feb883e7b,2111281179
2374510883,9d063d5e7bdc9b772ac6687734f341922fc66702,2374710776
2008272271,aa1e932799e2097772755268b587fa7968f4d879,2269704034
3043571,fd065a821f30e7e578f91646b676070e326db1b4,2110731188
2119152141,aacdec31b14b6fff7f9101d6be20e4f0fe501d52,145901874
2239878152,0f0f0d5f8dc7910284ea0f786f09ed4fa2a789ee,2244004510
2374510883,9d063d5e7bdc9b772ac6687734f341922fc66702,2376157975
2119152141,6fa346763d4691b2a53ef6dd64a7f1d40a77c3a8,2059254495
2119152141,1530d5d549c4acaadc49302119f942fcb3c934dd,50049680
2374510883,6e49f2efea3a62a67a02ae9116e41ed26ef518c4,40630320
3043571,0ce1b2c143f6409cbd9d3c18c52a2d37eb084208,2108384497
2275193055,0c5b757acf874f00c5b669d514eb3f2548482f8d,49339918
3043571,48f931c395e1a33318ace54132face35da54b178,73830065
2119152141,d785733515654e43a6a9a287b804108c3ce27c96,40806666
2374510883,2aeba460dc95bc7dfe86e91760e78cc47e7fca2b,2374511215
2374510883,45734ec7de9bd56072530e178d2adb19c7479dc8,2301866203
2119152141,c956b5219408f13ee49f32d450673a87900da270,2338091213
2056121619,446c0e523c458d93bd3038dc074fc1ac44eac76a,2110760066
2119152141,c956b5219408f13ee49f32d450673a87900da270,2294046508
2056121619,446c0e523c458d93bd3038dc074fc1ac44eac76a,1848483
2119152141,c956b5219408f13ee49f32d450673a87900da270,144728009
2239878152,86ca2275948ec593e0a0bd46cd178753cda89a72,122999915
2008272271,7671c31cdfd2e396846f59be30701b8710be8134,4118668
2374510883,ae94bb354069449d7c6735e7b375fdb6f7e1e9e6,2305916339
2119152141,3a8a586598224e52bba0ca3a5ff6da761cf6e5aa,11992382
2008272271,7671c31cdfd2e396846f59be30701b8710be8134,2006761815
1475527220,bdd5c6c0961dd87a6207e9397e293b542a670514,36107227
2374510883,6e49f2efea3a62a67a02ae9116e41ed26ef518c4,145008750
2374510883,ae94bb354069449d7c6735e7b375fdb6f7e1e9e6,2358680536
2008272271,7671c31cdfd2e396846f59be30701b8710be8134,2060194563
2374510883,60dc09b4be0fc9347a3c1151f5e1649f98dffc7a,1402422146
2239878152,5458dfc35704cd28925c6897fec75293f4a923ac,145445768
3043571,0ce1b2c143f6409cbd9d3c18c52a2d37eb084208,2373808393
2393498654,167a9311a7bfaa4aed7aa1b54aef2133c253b0f8,2275885764
2008272271,aa1e932799e2097772755268b587fa7968f4d879,2269755410
2393498654,4c58e46b962c66af5e5fcabd4f9b69fcd3413fdd,2303214723
2119152141,a3ae86810dbc73a371948bfd3853daa02f416ac8,146101616
3043571,21bb09c7b64bead04f38bac840fc1f0be3756197,9199196
2393498654,f0a69ba777c156bf5083991167b255ae35313453,2393564698
2119152141,d5a59cf256e6d1478ce18774163452f9e334beb8,2336889806
2119152141,7f5cb9e57f0731a8e79256f9cee771ca63417e1f,2240126328
2374510883,85ba44af08af9bfdde232638538339a7e0a70f48,2411009088
2119152141,1c587600a5a277b0171e07951d5a12b18d16ec2f,46873830
2119152141,bc6124fcee40549b28c298cd54bd8d792d7fba05,144386648
1475527220,bdd5c6c0961dd87a6207e9397e293b542a670514,1475525453
2374510883,85ba44af08af9bfdde232638538339a7e0a70f48,2284546822
2374510883,45734ec7de9bd56072530e178d2adb19c7479dc8,2158782373
2393498654,167a9311a7bfaa4aed7aa1b54aef2133c253b0f8,118951573
